,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
79,5,221,402,12,12032.368589113492,405.12717518637805,352.1876722177593,True
80,1,346,530,2,2085.9684681558592,1908.1457751963171,2149.643241668312,False
81,2,346,530,2,4551.273536746841,2284.632053294631,4673.037238433174,False
82,3,346,530,2,6551.070455216758,452.0915314526226,443.61850347239084,True
83,4,346,530,2,9342.889283682818,409.8114102561668,406.04776960932713,True
84,5,346,530,2,12451.739664155317,393.67541299919867,289.19923445361513,True
85,1,527,605,3,2039.2844751035022,1865.396114751146,2103.6403625503995,False
86,2,527,605,3,4496.035379860408,2745.125276571187,4592.147450935508,False
87,3,527,605,3,6848.77302394776,453.81858662377067,316.148041606438,True
88,4,527,605,3,9442.783824317941,406.58283231460206,210.42072215252054,True
89,5,527,605,3,12175.246774264448,396.7261000632534,163.65784174747503,True
90,1,558,234,23,1982.7106190227755,1833.8327486050387,2048.717291845831,False
91,2,558,234,23,4558.190296483914,2248.5318312676955,4705.131927852413,False
92,3,558,234,23,6810.957201366351,453.43429832102856,485.5360693120118,True
93,4,558,234,23,9491.004557032842,410.94141054511283,352.1224643920767,True
94,5,558,234,23,12953.100645441236,397.7299405087215,303.9935483639696,True
95,1,583,595,11,2064.498839048686,1888.2675046666168,2126.4316337961977,False
96,2,583,595,11,4459.6466392541015,2206.7802940381093,4604.2388248812895,False
97,3,583,595,11,6866.431947680622,442.7094434574606,710.1465445614773,True
98,4,583,595,11,9274.99741869997,405.68358275089645,516.9202166682433,True
99,5,583,595,11,12315.216818442337,393.9931131281301,408.0269907276016,True
100,1,435,219,25,2052.462707926254,1877.521550244028,2106.6636721926666,False
101,2,435,219,25,4592.113939090242,1388.1846204063122,4791.8313460771515,False
102,3,435,219,25,6843.505568640742,448.95637823155505,626.8493867568526,True
103,4,435,219,25,9292.05733794647,408.05239183607307,413.0920379989037,True
104,5,435,219,25,12478.69429910455,395.9245850161058,292.8500624044318,True
105,1,215,295,7,1972.2437511644243,1824.3299739196843,2037.9601320776585,False
106,2,215,295,7,4572.684539688665,2256.072494371391,4723.2772245050755,False
107,3,215,295,7,6829.016612707159,450.2072726087145,361.99189445930955,True
108,4,215,295,7,9777.935007191281,409.3369063910645,226.44910778504607,True
109,5,215,295,7,13076.731511851043,395.8393904492935,196.85298962471447,True
110,1,581,539,29,2006.6828756888206,1855.9137307330325,2071.7080978994095,False
111,2,581,539,29,4471.960418516825,3148.813875680494,4539.626165828279,False
112,3,581,539,29,6586.9347265945225,454.34329064759794,615.1402610359601,True
113,4,581,539,29,9142.58380433538,410.5411008428435,380.52089788161845,True
114,5,581,539,29,12321.888858935572,398.62468954720765,294.43807587888597,True
115,1,243,552,8,2003.4907893426894,1852.9530702440725,2064.3143745923253,False
116,2,243,552,8,4625.929950278603,2317.492064616239,4737.671979647341,False
117,3,243,552,8,6881.157592939421,449.8938608662066,566.0442424996143,True
118,4,243,552,8,9483.924912140074,412.964416846818,470.52937064041805,True
119,5,243,552,8,12604.410772722367,396.65222280976553,389.25695672061397,True
120,1,709,514,14,1970.7676772101531,1822.819302785653,2038.4271391263026,False
121,2,709,514,14,4472.63961050912,3403.060050616896,4535.1484348893055,False
122,3,709,514,14,6732.266862993729,453.2740791736162,483.3155983963599,True
123,4,709,514,14,9178.805132045836,409.46770350877244,324.0059152372392,True
124,5,709,514,14,12371.081914904638,391.1781662154669,242.54283729090255,True
125,1,692,468,15,2064.6392780594265,1888.5061104147928,2129.7804301550523,False
126,2,692,468,15,4475.087944223074,2733.6833294303333,4571.94636948282,False
127,3,692,468,15,6779.377954768432,448.93234985468234,487.8547349414506,True
128,4,692,468,15,9224.579268860403,405.401960374645,242.11158772966252,True
129,5,692,468,15,12473.970622528335,390.1460644803469,193.29408278782026,True
